ORGANIZATION NAME	COMPANY NAME	CONTACT PERSON	MOBILE NO.	EMAIL ID	PAID DIVISIONS	DIVISION ABBREVIATION	NAME OF DIVISONS	AMOUNT PAID PER DIVISION	TOTAL AMOUNT PAID PER MONTH	PAYMENT FREQUENCY	CLIENT SINCE	CLIENT TILL	DURATION	TOTAL AMOUNT PAID TILL DATE	CLIENT LOCATION (CITY)	CLIENT LOCATION (STATE)	REMARKS	Last contacted on	Remarks2	Do we need to follow up?
Crystal Cables	Crystal Cable Industries Ltd.		033 2215 7712 / 13	office@crystalcable.in	1	CCL			0	Monthly	01/07/2017	01/07/2017	0	0	Kolkata	West Bengal	Mostly Never used the software. Need to confirm from Ayush ji			
Ma Amba	Jagdamba Industries Limited		9083263630	purchase@maaamba.com	1	"Jagdamba Industries	"		8050	8050		30/06/2017	30/06/2017	0	0	Durgapur	West Bengal	No Info Available	03/07/2025	Network Issue	Yes
Ispat India	Ispat India	Sahil Singla	9988296069	admin@hindstructures.com	3	CCM, General, Pipe Mill, RLM, SMS 	Continious Casting Machine, General, Pipe Mill(C), Rolling Mill(C), Steel Melting Shop(C)	8333.333333	25000	Quarterly	06/01/2024	06/01/2024	0	0	Raipur	Chhattisgarh	Implementation charge paid but after that not used or invoice raised	03/07/2025	Using ERP right now	No
Jaishree	C.P. Ispat Pvt Ltd Unit 2		 	sunnysamastipur3@gmail.com	2	C2S, C2D			0				0	0	Bankura	West Bengal				No
Jaishree	C. P. Sponge Iron Pvt. Ltd.			sunnysamastipur3@gmail.com	1	CPS			0				0	0	Burdwan	West Bengal				No
Jaishree	Kunj Bihari Steel Pvt. Ltd.				1	KJB			0				0	0	Burdwan	West Bengal				No
Anmol Stainless	Anmol Stainless Pvt. Ltd.		91.33.40052828	info@anmolstainless.com	1	ASP			0				0	0	Kolkata	West Bengal	No info Available			
Eurasia	Brand Alloys Pvt. Ltd.	Viraj Bansal	9433014402	brandalloys@eurasiagroup.in	1	BDA			0				0	0	Kolkata	West Bengal	No info Available	03/07/2025	Brochure sent. Told to call later	Yes
Eurasia	Brand Steel & Power Pvt. Ltd.		33.401386	bsppl@eurasiagroup.in	1	BSP			0				0	0	Kolkata	West Bengal	No info Available			
Eurasia	Haldia Steels Pvt. Ltd. Unit 1		33.401386	haldiasteels@eurasiagroup.in	1	HS1			0				0	0	Kolkata	West Bengal	No info Available			
Eurasia	Haldia Steels Pvt. Ltd. Unit 2		33.401386	haldiasteels@eurasiagroup.in	5	H2C, H2D, H2P, H2S, H2V.			0				0	0	Kolkata	West Bengal	No info Available			
Eurasia	Ispat Damodar Pvt. Ltd.		33.401386	ispatdamodar@eurasiagroup.in	6	IDA, IDD, IDF, IDI, IDS, IDP			0				0	0	Kolkata	West Bengal	No info Available			
Eurasia	Sonic Thermal Pvt. Ltd.		33.401386	sonicthermal@eurasiagroup.in	6	SBE, SBR, SCC, SFU, SGS, SVH.			0				0	0	Kolkata	West Bengal	No info Available			
Jain Group Discontinue	Dream Projects		033 4031 9999	contact@thejaingroup.com	1	PLZ			0				0	0	Kolkata	West Bengal	No info Available			
Jain Group Discontinue	Jain Group Projects Pvt. Ltd.		033 4031 9999	contact@thejaingroup.com	5	"ECO, O12, VAL, DVL, WC2 	"			0				0	0	Kolkata	West Bengal	No info Available			
Holiday Inn	Holiday Inn		9874382790	shankar.chatterjee@holidayinnkolairport.com	1	Holiday Inn			0				0	0	Kolkata	West Bengal				
Mayur	Mayur Electro Ceramics Pvt. Ltd.		9438116208	purchase@mecpl.in	1	Sponge			0				0	0		Odisha	No info Available	03/07/2025	Network Issue	Yes
Mrinmaye Trading & Movers	Mrinmaye Trading & Movers Pvt Ltd		N/A	N/A	1	"MTM	"			0				0	0	Kolkata	West Bengal	No info Available			
RLJ Group	RLJ Concast Pvt Ltd		N/A	concast@rljgroup.in	1	SID			0				0	0	Kolkata	West Bengal	No info Available. only one invoice of Rs. 9791 Write off amount/trading			Yes
RLJ Group	S.A Iron & Alloys Pvt Ltd		9454234923	saironpvtltd@gmail.com	1	SAI			0				0	0	Kolkata	West Bengal	trading	02/07/2025	Did not pick	Yes
RLJ Group	wasRLJ Concast Pvt Ltd	ARchit Goyal (operations , office management)	9831748958	concast@rljgroup.in	1	"RLJ	"			0				0	0	Kolkata	West Bengal		22/08/2025	Did not pick up. Earlier said Follow up next week	Yes
Sarvesh Refractories	Sarvesh Refractories Private Limited		9776042221	k.agarwal@sarvesh.com	1	SRF			0				0	0	Rourkela	Odisha	No info Available	02/07/2025	Using SAP	No
Shivam Group	Shivam Dhatu Udyog Pvt. Ltd.		8420134444	purchase@shivam.co.in	2	SHO, SVD			0				0	0	Kolkata	West Bengal	trading	02/07/2025	Number Invalid	Yes
SK Sarawagi	S.K. Sarawagi & Co. (P) Ltd.		771.4059002	N/A	5	RML, SID, SMS, PPL, GST, CCM			0				0	0	Raipur	Chhattisgarh	No invoicing Data found	02/07/2025	Number Invalid	Yes
Sagar TMT	Sourabh Rolling Mills Pvt. Ltd.		0771.4223028 / 0771.4223029	purchase@sagartmt.com	1	SRM			0				0	0	Raipur	Chhattisgarh	No invoicing Data found	02/07/2025	Weird guy	Yes
Super Smelt	SuperSmelt Industries Pvt. Ltd.	Manoj Kasera	9831724428	purchase@sspvt.in	1	SSI			0				0	0	Bankura	West Bengal	No info Available	05/07/2025	Did not pick	Yes
wasAIC	wasNN Ispat Pvt. Ltd.		N/A	N/A	2	NCM, NRM			0				0	0	Kolkata	West Bengal	No info Available	05/07/2025	Using Lighthouse currently	No
Indo East Corporation Private Limited	Anand Tube Industries				1	ANT			0				0	0	Kolkata	West Bengal	No info Available	03/07/2025	Active Client , IndoEast Unit Working unit working	No
BigMint	BigMint				4	ADM, EVP, IFT, INF			0				0	0	Raipur	Chhattisgarh	it was a purchase module. given for test usage	05/07/2025	They are not a real manufacturing company	No
Summit Hotels & Resorts	Himalayan Hotels and Lodges Pvt Ltd				5	"DNR, CSH, KHS, TPH, Village Lodge Paro	"			0				0	0	Kolkata	West Bengal	No info Available	05/07/2025	We tried installing our software in this company but it didn't happen. No point approching them	No
Summit Hotels & Resorts	Summit Hotels & Resorts					"YSH, Summit Chandertal Regency Hotel & Spa, Summit Golden Crescent Resort & Spa, Summit Grace Hotel & Spa, Summit Hermon, Summit Le.Royale Hotel & Spa, Summit Namnang Courtyard & Spa, Summit Newa Regency & Spa, Summit Norling Hotel & Spa, Summit Renaissance Hotel & Spa, Summit Sobralia Resort, Summit Swiss Heritage Hotel & Spa, Summit Ttakshang Residency Hotel & Spa	"			0				0	0	Kolkata	West Bengal	No info Available	05/07/2025	We tried installing our software in this company but it didn't happen. No point approching them	No
Himtech Sales Pvt Ltd	Himtech Sales Pvt Ltd				1	HMT			0				0	0	Kolkata	West Bengal	Implementation invoice raised and amount received but no info after that			
Hariom Ingots & Power	JP Gems and Jewels				1	JPG			0				0	0		Maharashtra	No info Available	03/07/2025	Active Client , IndoEast Unit Working unit working	No
Nirmaan TMT	Nutan Iron and Power Pvt Ltd				3	NIP, NIC, NIS			0				0	0		Chhattisgarh	No info Available	03/07/2025	Active Client , IndoEast Unit Working unit working	No
